#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","1","336","2199267901440","438272","8531968","19640","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","1.703125","10.0.16299.15 (WinBuild.160101.0800)","10.0.16299.15","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2848","Microsoft.Win32.SafeHandles.SafeProcessHandle","336","3556",".","263336","COMP2101 11 Powershell Data.pdf ?- Microsoft Edge","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19640","19640","8531968","8531968","338912","338912","11194368","11194368","28291072","28291072","253739008","2199276994560","True","Normal","8531968","8531968","00:00:01.0781250","ApplicationFrameHost","1","True","1","System.Diagnostics.ProcessStartInfo","3/28/2018 9:03:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7031250","00:00:00.6250000","244645888","2199267901440","False",,,,"438272","438272",,
"browser_broker","1","542","2233591816192","2101248","7630848","24528","C:\WINDOWS\system32\browser_broker.exe","Microsoft Corporation","0.296875","11.00.16299.15 (WinBuild.160101.0800)","11.00.16299.15","Browser_Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"2440","Microsoft.Win32.SafeHandles.SafeProcessHandle","542","7300",".","0","","System.Diagnostics.ProcessModule (browser_broker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24528","24528","7630848","7630848","345216","345216","8581120","8581120","30547968","30547968","215662592","2233598656512","True","Normal","7630848","7630848","00:00:00.2500000","browser_broker","1","True","1","System.Diagnostics.ProcessStartInfo","4/1/2018 3:29:06 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2968750","00:00:00.0468750","208822272","2233591816192","False",,,,"2101248","2101248",,
"conhost","1","258","2199176032256","5554176","3960832","13176","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","1.328125","10.0.16299.15 (WinBuild.160101.0800)","10.0.16299.15","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2060","Microsoft.Win32.SafeHandles.SafeProcessHandle","258","6108",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13176","13176","3960832","3960832","218056","218056","5275648","5275648","22630400","22630400","156413952","2199179669504","True","Normal","3960832","3960832","00:00:01.1875000","conhost","1","True","1","System.Diagnostics.ProcessStartInfo","3/28/2018 10:45:57 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3281250","00:00:00.1406250","152776704","2199176032256","False",,,,"5554176","5554176",,
"csrss","0","413","2199111888896","282624","1593344","13384",,,,,,,,"Process","13",,,,,,"413","604",".","0","",,,,,"13384","13384","1593344","1593344","168376","168376","1753088","1753088","4915200","4915200","90075136","2199113330688",,,"1593344","1593344",,"csrss",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"88633344","2199111888896","False",,,,"282624","282624",,
"csrss","1","468","2199109382144","212992","1851392","18544",,,,,,,,"Process","13",,,,,,"468","680",".","0","",,,,,"18544","18544","1851392","1851392","188208","188208","9314304","9314304","36610048","36610048","134275072","2199157530624",,,"1851392","1851392",,"csrss",,"True","1","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"86126592","2199109382144","False",,,,"212992","212992",,
"ctfmon","1","416","2199149584384","671744","3158016","15000",,,"4.359375",,,,,"Process","13",,,,,,"416","4724",".","0","",,,,,"15000","15000","3158016","3158016","176040","176040","3166208","3166208","13250560","13250560","129286144","2199152541696",,,"3158016","3158016","00:00:03.2343750","ctfmon",,"True","1","System.Diagnostics.ProcessStartInfo","3/28/2018 8:59:42 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.3593750","00:00:01.1250000","126328832","2199149584384","False",,,,"671744","671744",,
"dllhost","1","238","2199159672832","987136","4222976","20120","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.640625","10.0.16299.15 (WinBuild.160101.0800)","10.0.16299.15","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3180","Microsoft.Win32.SafeHandles.SafeProcessHandle","238","3068",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20120","20120","4222976","4222976","153432","153432","5881856","5881856","11010048","11010048","144314368","2199167569920","True","Normal","4222976","4222976","00:00:00.5468750","dllhost","1","True","1","System.Diagnostics.ProcessStartInfo","3/28/2018 8:59:53 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6406250","00:00:00.0937500","136417280","2199159672832","False",,,,"987136","987136",,
"dllhost","0","142","2199104565248","0","3751936","9784",,,,,,,,"Process","8",,,,,,"142","4028",".","0","",,,,,"9784","9784","3751936","3751936","84080","84080","4284416","4284416","12615680","12615680","86667264","2199109922816",,,"3751936","3751936",,"dllhost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"81309696","2199104565248","False",,,,"0","0",,
"dllhost","0","258","2199122968576","806912","4517888","13832",,,,,,,,"Process","8",,,,,,"258","5036",".","0","",,,,,"13832","13832","4517888","4517888","107568","107568","4968448","4968448","15089664","15089664","107569152","2199130824704",,,"4517888","4517888",,"dllhost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"99713024","2199122968576","False",,,,"806912","806912",,
"dwm","1","1276","2199460458496","15675392","110616576","47240",,,,,,,,"Process","13",,,,,,"1276","560",".","0","",,,,,"47240","47240","110616576","110616576","593432","593432","153960448","153960448","86405120","86405120","474271744","2199497527296",,,"110616576","110616576",,"dwm",,"True","1","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"437202944","2199460458496","False",,,,"15675392","15675392",,
